rate,churn,model,corr_raw,corr_detrended,corr_vs_true_season
1,40,LSTM,0.06925370883738484,-0.013307578079664845,0.1128323815834954
1,40,Transformer,0.21953614694592044,0.016932272148399954,-0.07824502994247405
1,40,ParetoNBD_MLE,0.02637008162390058,-0.08236728507601113,0.005587377051441991
1,40,LSTM,0.5407594025009623,0.21503989896812417,0.2672559516809521
1,40,Transformer,0.4827206501209657,0.3204243675942569,0.05103400110966426
1,40,ParetoNBD_MLE,0.04919985410735908,0.03671159662251961,0.00816430118687921
1,40,LSTM,0.23107767903207482,-0.02918155336448279,-0.03157180834661904
1,40,Transformer,0.21678153352511206,-0.04023679368684132,0.08162988116908533
1,40,ParetoNBD_MLE,0.0676177644685413,0.035604255560899904,-0.014690806106071623
1,40,LSTM,0.27099285377715826,-0.0561151210962592,0.4626589123239486
1,40,Transformer,0.25266351751587446,0.14091344125484928,-0.007904035007646068
1,40,ParetoNBD_MLE,-0.08205109428727238,-0.10937485351197167,-0.0275519618305334
1,40,LSTM,0.3821140050433786,0.194296217775939,0.09887269910901117
1,40,Transformer,0.2540162043876763,-0.05832485264877336,-0.007526305424119367
1,40,ParetoNBD_MLE,0.009625969987432885,-0.05610911401836278,-0.03243235585493711
1,60,LSTM,0.1733572628264732,-0.10753260448489664,-0.10723844340076143
1,60,Transformer,0.28441244643012187,0.06901275066777636,0.46813578749018886
1,60,ParetoNBD_MLE,-0.013373900442102215,-0.07257724945859287,-0.022534571641792314
1,60,LSTM,0.030469489008085528,0.08884722227649358,0.009412531389035582
1,60,Transformer,-0.035869519396639245,0.0984229441175847,-0.08846764848899485
1,60,ParetoNBD_MLE,0.058102370098825476,0.06733003491013433,-0.03365690231373317
1,60,LSTM,-0.051348439395458786,-0.13352288425925604,-0.18726090504309836
1,60,Transformer,0.003439087398348137,-0.09183326815951834,-0.16574463172463483
1,60,ParetoNBD_MLE,0.2329130363293498,0.10163000945727664,-0.016803861358373157
1,60,LSTM,0.0627852287974791,-0.1421654343784033,-0.12636122305269074
1,60,Transformer,-0.03643903559318175,-0.12328873084790082,0.01651624107582486
1,60,ParetoNBD_MLE,0.0003359743616351402,-0.07900637212518731,-0.028784330381946794
1,60,LSTM,0.01823538346619633,0.05661641885398895,0.1582110380955635
1,60,Transformer,0.051352338194840814,-0.12901563020173748,-0.13038672936633494
1,60,ParetoNBD_MLE,0.03392042648962151,-0.09771683977806993,-0.03747953762499862
1,60,LSTM,0.15689276725649876,-0.1461033678994157,-0.05735187128853982
1,60,Transformer,0.41606294415774,0.10020012894385597,0.2274247974648097
1,60,ParetoNBD_MLE,-0.26568864662111563,0.013076980915030309,-0.03339646855964502
1,60,LSTM,0.01856265544788456,0.13529152749793388,0.011732049008386447
1,60,Transformer,0.021605813869212037,0.11321286547337968,0.09201792229207077
1,60,ParetoNBD_MLE,-0.25019593193364426,-0.09330509632399665,-0.0339015217062321
1,60,LSTM,-0.09423924734991014,-0.11992146896127263,0.010792219968709237
1,60,Transformer,0.13940710652599408,-0.0687833865100298,-0.07872060218107395
1,60,ParetoNBD_MLE,0.04104715778379776,-0.1593644024841672,-0.03412882117855634
1,60,LSTM,-0.09297933743660673,-0.33224801797297787,-0.005260030044718753
1,60,Transformer,-0.007826480110976327,-0.19302109670331483,0.010538076566771125
1,60,ParetoNBD_MLE,-0.04290824097329027,0.08246246093989483,-0.027623708586950887
1,60,LSTM,0.19267948927615783,0.21056074014917608,-0.15592235413877528
1,60,Transformer,0.2106039617474506,0.2533050005413588,0.07412447878025581
1,60,ParetoNBD_MLE,0.005286990883784773,-0.11664942746983954,-0.036075460124044
1,80,LSTM,0.012219488557973675,-0.05883817809506907,-0.1514182191851895
1,80,Transformer,-0.05003326108591544,-0.062409964433006275,-0.106098972845219
1,80,ParetoNBD_MLE,0.15941137240750677,-0.05943604665755739,-0.040007690445184124
1,80,LSTM,-0.03703792847800544,-0.0021301742869447512,-0.208806560997878
1,80,Transformer,0.07798406779536209,0.06860465645536659,-0.034950092020699215
1,80,ParetoNBD_MLE,-0.07801223235385268,-0.010251357774733235,-0.05205216451174803
1,80,LSTM,0.09343890657378444,-0.07244201291564795,-0.09250252000027234
1,80,Transformer,0.017650848605282814,-0.18403021166850253,-0.019067941402255848
1,80,ParetoNBD_MLE,0.057573562103026145,0.07737698741179139,-0.047951454499403724
1,80,LSTM,0.14308704593750093,-0.0377164563145424,-0.17600424223452424
1,80,Transformer,0.1702413172338983,-0.0017734883216042568,0.045290649427035735
1,80,ParetoNBD_MLE,0.2643763066704391,0.03156504112797685,-0.05171370147191446
1,80,LSTM,-0.18356504410173616,-0.21060961438810877,-0.10109008534581536
1,80,Transformer,-0.010720150153783442,-0.1593829943808168,-0.20994582076470417
1,80,ParetoNBD_MLE,0.052861460123160536,0.05201570006588775,-0.05927646327177707
1,80,LSTM,0.4182587898091277,0.3107917329994889,-0.0904947564467781
1,80,Transformer,0.23894864484173847,0.24005627258315604,0.12834496399385137
1,80,ParetoNBD_MLE,0.006720835017082728,-0.003984170263967097,-0.0255967659827032
1,80,LSTM,0.141946356034479,0.013814766298983032,-0.03237319328288643
1,80,Transformer,-0.07900414477678298,-0.10950096200726972,-0.12321901325318298
1,80,ParetoNBD_MLE,0.05809012771456102,-0.06655166559862863,-0.029350269923123246
1,80,LSTM,0.2489174218372686,0.10877171421473766,-0.2164835912930766
1,80,Transformer,0.324145315704353,0.2444987337502535,-0.03296296838497028
1,80,ParetoNBD_MLE,0.14231116235318705,-0.02158497865259655,-0.05842665486280687
1,80,LSTM,0.14663359999067938,0.24270029549311342,0.08308609327880405
1,80,Transformer,0.11808344646225057,0.16323485053475636,0.007679613000964626
1,80,ParetoNBD_MLE,-0.056823041547834865,0.07502581716974079,-0.07076807021413399
1,80,LSTM,0.26077784530251924,0.2976734056645677,-0.006653363344405966
1,80,Transformer,0.11297405908402848,0.09917348012239696,-0.0704424959689622
1,80,ParetoNBD_MLE,-0.15736383605320392,-0.026107814335641702,-0.05192383470395306
30,20,LSTM,0.9419275300389949,0.885140159842199,0.8340835861654534
30,20,Transformer,0.47773561840366746,0.15276709589275234,0.37107281484966087
30,20,ParetoNBD_MLE,-0.014135135922216518,-0.015004872793699645,0.017479998091152783
30,20,LSTM,0.9579565466525893,0.9299178092236285,0.8810427603667192
30,20,Transformer,0.8331361370486635,0.7820456311961895,0.8737304720362291
30,20,ParetoNBD_MLE,-0.04813189151743756,0.03041338585831174,0.014309298781840177
30,20,LSTM,0.9509987136871506,0.9124159122132504,0.8491926083781499
30,20,Transformer,0.5132631655520199,0.31206873623782455,0.3669749168002057
30,20,ParetoNBD_MLE,-0.13187825404088996,0.019423334440589614,0.017902767183325067
30,20,LSTM,0.9468536422584494,0.9314588501975013,0.8979220128029378
30,20,Transformer,0.5907170898540945,0.5419183167600353,0.7672251621991915
30,20,ParetoNBD_MLE,-0.13815312338590507,0.006441457000456323,0.017020365040350417
30,20,LSTM,0.9464228314260504,0.9430629684343914,0.9265799578615427
30,20,Transformer,0.42733189980180064,0.4661123054048766,0.6963952899497227
30,20,ParetoNBD_MLE,-0.08619455918284467,0.006311286835425792,0.012876964734482185
30,20,LSTM,0.946400187194987,0.9017223065988088,0.9066028980873782
30,20,Transformer,0.4607656041518749,0.5086409838534128,0.7178462440285037
