rate,churn,model,auc,share_to_dead,alive_ratio,true_alive_share
10,60,ParetoNBD_MLE,0.9493920612341664,0.14796278539544208,0.6062495279494302,0.30563002680965146
10,60,LSTM,0.8865367352415855,0.5637739142290615,0.9324982913442603,0.26819407008086255
10,60,Transformer,0.8382936783364335,0.5214903988662566,0.9882531662630215,0.26819407008086255
10,60,ParetoNBD_MLE,0.9529183671580739,0.19045587725265642,0.7069090600589231,0.26819407008086255
10,60,LSTM,0.9177729983380583,0.5884559912459344,0.7832547612829701,0.2669432918395574
10,60,Transformer,0.7965783556554893,0.5755053928220727,0.5473202361326835,0.2669432918395574
10,60,ParetoNBD_MLE,0.9417636132564278,0.2044408491176089,0.6694112870716965,0.2669432918395574
10,60,LSTM,0.9063911910323121,0.566839544550872,0.5859562619023367,0.2980769230769231
10,60,Transformer,0.7896146527546061,0.5182340752921378,0.474691860357798,0.2980769230769231
10,60,ParetoNBD_MLE,0.9539846871139087,0.1326844397327811,0.6481512160409557,0.2980769230769231
10,80,LSTM,0.9020163831127914,0.7128866339266245,0.48454645389217166,0.13278688524590163
10,80,Transformer,0.8558309412121636,0.7585210121677135,0.6746066007342723,0.13278688524590163
10,80,ParetoNBD_MLE,0.9676421853485495,0.19171011152064846,0.6645235839182558,0.13278688524590163
10,80,LSTM,0.924896510940272,0.7621438258391564,0.612874415171153,0.12459016393442623
10,80,Transformer,0.9049871870687956,0.7017256596759677,0.9136754837422281,0.12459016393442623
10,80,ParetoNBD_MLE,0.971023063276168,0.1479405875816854,0.5447879734610732,0.12459016393442623
10,80,LSTM,0.8921884776435481,0.8408434298903226,0.44692533224694386,0.1305785123966942
10,80,Transformer,0.8698560908697117,0.8247343984327584,0.4929308829715625,0.1305785123966942
10,80,ParetoNBD_MLE,0.976199643836935,0.21114370137843586,0.7255786088462254,0.1305785123966942
10,80,LSTM,0.8894957983193277,0.7341917007681252,0.2792540300393926,0.15141430948419302
10,80,Transformer,0.8418444300797243,0.7400642356297271,0.5994965270031696,0.15141430948419302
10,80,ParetoNBD_MLE,0.9702434820081879,0.14848003900509096,0.6379441297344144,0.15141430948419302
10,80,LSTM,0.9232339413983773,0.7380398934248036,0.5314931456622481,0.12395309882747069
10,80,Transformer,0.7477908118443491,0.7514543868166039,0.2675050714321261,0.12395309882747069
10,80,ParetoNBD_MLE,0.9717198077618727,0.1675811423908474,0.510528307575869,0.12395309882747069
10,80,LSTM,0.9328015734265734,0.7837036604871033,0.5569590363700391,0.14473684210526316
10,80,Transformer,0.8607298951048952,0.7102188348553098,0.9423697170267201,0.14473684210526316
10,80,ParetoNBD_MLE,0.9797639860139861,0.1754485217443171,0.7775819089365352,0.14473684210526316
10,80,LSTM,0.9325158634882524,0.6485536465291168,0.6912687653104855,0.17073170731707318
10,80,Transformer,0.7592072543303034,0.6513962191523784,0.47587781454243094,0.17073170731707318
10,80,ParetoNBD_MLE,0.970298833819242,0.1946246709215421,0.6858813432504772,0.17073170731707318
10,80,LSTM,0.8877993295019156,0.8265304040753997,0.46545351927838885,0.132890365448505
10,80,Transformer,0.7502873563218392,0.8168742537841206,0.3265459698133198,0.132890365448505
10,80,ParetoNBD_MLE,0.9565613026819924,0.20885760488875427,0.5293241754535414,0.132890365448505
10,80,LSTM,0.9154797700058026,0.8140813199716983,0.6732872217520391,0.11735537190082644
10,80,Transformer,0.8361950730600834,0.854010274346152,1.0272139591286564,0.11735537190082644
10,80,ParetoNBD_MLE,0.9615049849659756,0.2037077668349649,0.7058801201586847,0.11735537190082644
10,80,LSTM,0.5826372155287818,0.8661180426095111,0.3612191918003153,0.13089005235602094
10,80,Transformer,0.7808299866131192,0.6582711637919757,0.35761416349974123,0.13089005235602094
10,80,ParetoNBD_MLE,0.9691700133868809,0.14787079916299378,0.5023704418169003,0.13089005235602094
1,20,LSTM,0.45131994442339274,0.22152117875871782,0.7060419303790897,0.7821576763485477
1,20,Transformer,0.4727927245168624,0.22108055956865647,0.5634029677634741,0.7821576763485477
1,20,ParetoNBD_MLE,0.6910193255020841,0.18031062827352826,0.70671481790453,0.7821576763485477
1,20,LSTM,0.502827763496144,0.1874346644098364,0.7636424832610172,0.8121085594989561
1,20,Transformer,0.583690374178806,0.17918602869704361,0.5263857485122742,0.8121085594989561
1,20,ParetoNBD_MLE,0.7117680662667809,0.14770135204185303,0.7325971904801658,0.8121085594989561
1,20,LSTM,0.4885477695253033,0.20595912138919467,0.6013754909382576,0.7941747572815534
1,20,Transformer,0.4740969691377958,0.20833091268363482,0.8288605071969694,0.7941747572815534
1,20,ParetoNBD_MLE,0.7134866448309269,0.17130544260464786,0.7728453336333079,0.7941747572815534
1,20,LSTM,0.552452282565919,0.26020758446414005,0.6905688847578222,0.7352297592997812
1,20,Transformer,0.559646792601338,0.25944018217249265,0.9315781055114913,0.7352297592997812
1,20,ParetoNBD_MLE,0.7087145808736718,0.21250269359143412,0.6188557139566313,0.7352297592997812
1,20,LSTM,0.5395372928176796,0.22060680103317534,0.7418958807730666,0.776824034334764
1,20,Transformer,0.5498432851678708,0.22007418718800945,0.6928186427672135,0.776824034334764
1,20,ParetoNBD_MLE,0.7366659583510413,0.17164276416530416,0.7927774525677448,0.776824034334764
1,20,LSTM,0.5248010610079575,0.22437181620672572,0.9761878373625851,0.7741273100616016
1,20,Transformer,0.522160598022667,0.22418787039352603,0.6270913674849737,0.7741273100616016
1,20,ParetoNBD_MLE,0.7217144924041475,0.1869163990340588,0.6266510194610235,0.7741273100616016
1,20,LSTM,0.4577024025842924,0.216875681560016,1.1538764858540738,0.7855670103092783
1,20,Transformer,0.5698440339188371,0.20945300296997568,1.135465344276963,0.7855670103092783
1,20,ParetoNBD_MLE,0.7049767817484351,0.17447779712307784,0.7436041366273773,0.7855670103092783
1,20,LSTM,0.5373598553345389,0.20749758660648782,0.8870908754461173,0.79
1,20,Transformer,0.5443037974683544,0.20491218044089732,0.3342574272222641,0.79
1,20,ParetoNBD_MLE,0.7795660036166364,0.16056809151868262,0.7620151578037241,0.79
1,20,LSTM,0.45438605156574136,0.2195510390332691,1.4421839497336215,0.7827868852459017
1,20,Transformer,0.5051244690309197,0.2142857142879797,0.32333873351085646,0.7827868852459017
1,20,ParetoNBD_MLE,0.7084362343178899,0.18535723445366653,0.7604859584810233,0.7827868852459017
1,20,LSTM,0.5164785222108196,0.20790469340326553,0.8987431802106031,0.7907488986784141
1,20,Transformer,0.5062747397742267,0.2096344549306593,1.2526774144062496,0.7907488986784141
1,20,ParetoNBD_MLE,0.6920539510335729,0.17250004354811754,0.8145870917057071,0.7907488986784141
1,40,LSTM,0.5025905300196715,0.41098967677875375,1.4645559705803615,0.5880829015544041
1,40,Transformer,0.5011913667470147,0.4129174717361623,0.40046844361817147,0.5880829015544041
1,40,ParetoNBD_MLE,0.7218574238772061,0.30580349677854357,0.6635662724100426,0.5880829015544041
1,40,LSTM,0.49153188691650235,0.4298850574916849,0.8232089123999979,0.5710659898477157
1,40,Transformer,0.5752662721893491,0.4159853008215645,0.4137522970580501,0.5710659898477157
1,40,ParetoNBD_MLE,0.7295726495726496,0.32790206121537485,0.6800802109343731,0.5710659898477157
1,40,LSTM,0.4458501054245735,0.39412541992588374,1.4107829385288093,0.6115702479338843
1,40,Transformer,0.41829595552999804,0.40973359120887404,0.2542216871653487,0.6115702479338843
1,40,ParetoNBD_MLE,0.750670883649607,0.29055014246422367,0.6505184069945625,0.6115702479338843
1,40,LSTM,0.5347934918648309,0.41504860424694295,1.3357741724448962,0.5802469135802469
1,40,Transformer,0.6356695869837297,0.40151622165932566,0.7252943293608056,0.5802469135802469
1,40,ParetoNBD_MLE,0.7466207759699623,0.3133225639981634,0.7732842438872208,0.5802469135802469
1,40,LSTM,0.5313413742690059,0.42019896743554025,1.3940336892669292,0.5757575757575758
1,40,Transformer,0.5762714076858814,0.4098318900024548,0.28061127175489886,0.5757575757575758
1,40,ParetoNBD_MLE,0.7949561403508771,0.2511134087790644,0.7217266345626363,0.5757575757575758
1,40,LSTM,0.460650406504065,0.4248687203386841,1.375082268961405,0.5784061696658098
1,40,Transformer,0.4562872628726288,0.425851600229995,0.7491415422174872,0.5784061696658098
1,40,ParetoNBD_MLE,0.7171544715447156,0.34550749300604733,0.5624213912799099,0.5784061696658098
1,40,LSTM,0.4237557118231319,0.42289359661262577,1.3879558197098607,0.5850515463917526
1,40,Transformer,0.46188469641831065,0.4207277452892733,0.3096890516172768,0.5850515463917526
1,40,ParetoNBD_MLE,0.758324896708348,0.3107386291489337,0.7205334882429754,0.5850515463917526
1,40,LSTM,0.4751484389963609,0.4505563886451641,0.9047320569661346,0.5523114355231143
1,40,Transformer,0.49924583413139234,0.4478394408080099,0.6775094193667581,0.5523114355231143
1,40,ParetoNBD_MLE,0.7547883547213177,0.3132632378934363,0.5177587388298499,0.5523114355231143
1,40,LSTM,0.47529451042113796,0.421067404473959,0.8336130942953608,0.5807228915662651
1,40,Transformer,0.5201149425287356,0.4196621321038442,0.9778412088134913,0.5807228915662651
1,40,ParetoNBD_MLE,0.7638670291410311,0.30817903441669,0.691851716355258,0.5807228915662651
1,40,LSTM,0.505838983962975,0.4153932497579322,1.434989651597501,0.5831202046035806
1,40,Transformer,0.4931519750295985,0.42179227398834,0.5539325529734296,0.5831202046035806
1,40,ParetoNBD_MLE,0.7731406737703154,0.2787891036376342,0.718898616843858,0.5831202046035806
1,60,LSTM,0.5607915136678907,0.5640783572884331,1.0804381121008426,0.43
1,60,Transformer,0.6576907384740921,0.5450927325658721,0.668619794971104,0.43
1,60,ParetoNBD_MLE,0.7987896096831225,0.36208801653857325,0.5034632183740941,0.43
1,60,LSTM,0.48586647727272725,0.6377282789167928,0.7701945345366543,0.36423841059602646
1,60,Transformer,0.5265388257575758,0.6298752985009234,0.6154791153295361,0.36423841059602646
1,60,ParetoNBD_MLE,0.8057054924242423,0.3854671324315879,0.4503039849537128,0.36423841059602646
1,60,LSTM,0.49933601978203135,0.5944914748596566,1.2989372355054718,0.4053156146179402
1,60,Transformer,0.6220349848887261,0.5789253079618732,1.278949668874686,0.4053156146179402
1,60,ParetoNBD_MLE,0.811910431358183,0.44050616309859064,0.5082787242526959,0.4053156146179402
1,60,LSTM,0.5180397727272728,0.5465868428113841,0.6959867473096085,0.4520547945205479
1,60,Transformer,0.5034801136363636,0.5472415978555136,0.22625642976208185,0.4520547945205479
1,60,ParetoNBD_MLE,0.808404356060606,0.3638485412216114,0.41687369988546746,0.4520547945205479
1,60,LSTM,0.5347455621301775,0.5724299922957,1.4427852872357623,0.42517006802721086
1,60,Transformer,0.4550532544378698,0.5835171447622355,0.5144489336204884,0.42517006802721086
1,60,ParetoNBD_MLE,0.7848284023668639,0.3569426454973071,0.6515558255982724,0.42517006802721086
1,60,LSTM,0.44726507713884994,0.5490724812263982,0.9506115485487557,0.45722713864306785
1,60,Transformer,0.512429873772791,0.5392347805161235,0.7188148361519766,0.45722713864306785
