rate,churn,LSTM,Transformer,ParetoNBD_MLE
1,80,0.9231884758712998,0.9230769228251194,0.7810241825419154
1,80,0.950640867687696,0.9527878658631761,0.8649295873812736
1,80,0.9170531259396947,0.9189260331772185,0.8040674683176199
30,20,0.12202623186485072,0.2954965242830794,0.04745746681147885
30,20,0.18410785118028125,0.2350485522709389,0.053310428182753646
30,20,0.1532765801940932,0.29106988031284414,0.03910006546389761
30,20,0.19475114938216967,0.18329444063914127,0.04328459190592643
30,20,0.16606806293431664,0.19228489296873355,0.06228348214224477
30,20,0.16983196009158363,0.19731471867370426,0.03680588221853522
30,20,0.11204159962832452,0.18668289026541837,0.04779367917612939
30,20,0.16652792988332965,0.23321015069570847,0.06728742058372476
30,20,0.17312470707043112,0.21177902094629053,0.05728088641944393
30,20,0.18995430852503975,0.21203820183337224,0.05402012367107244
30,40,0.22182630849920668,0.36531578070981663,0.09420644862648672
30,40,0.26206815912463644,0.38343268527219054,0.09938014696575438
30,40,0.20392607628660062,0.30637347883526844,0.10736620717473608
30,40,0.19632241280636312,0.3784452598046254,0.09279525766191274
30,40,0.18977384203288686,0.40190568591142206,0.0661643265094903
30,40,0.19097278628015407,0.36281970621565757,0.08754757455426583
30,40,0.17971380633808479,0.3300900670080526,0.0832791476042124
30,40,0.16878693376823672,0.303750295350092,0.062380217333091854
30,40,0.3028263977871731,0.3758352870725985,0.09317955069194359
30,40,0.18924906683613912,0.3444084510446301,0.08569516776851213
30,60,0.3802994926834669,0.5504026272442853,0.09931400854972189
30,60,0.3350501532391224,0.43384467698720725,0.12158933838154264
30,60,0.29133823964556893,0.48852464896649833,0.12963824194573678
30,60,0.32036913751282237,0.5722239592324021,0.12519493205062604
30,60,0.317428848887953,0.47654048643530184,0.13627671073085562
30,60,0.21130319131917236,0.3720186763630836,0.09790728197105322
30,60,0.2705059207909655,0.49463886136266594,0.13489698552441046
30,60,0.35878313641885456,0.4547613532332429,0.09404838162798244
30,60,0.2912384241622401,0.5136781677737474,0.13845385488369413
30,60,0.39271211726004707,0.35912980115611204,0.10226162588545847
30,80,0.581769403006485,0.6834383662989059,0.19214084108110027
30,80,0.308083669528129,0.6682805989276024,0.1480868177201131
30,80,0.2512594062555563,0.7158706927045189,0.22231331121852554
30,80,0.19164395886095312,0.6785858586046568,0.14663931781226738
30,80,0.23235255288512616,0.602442700024345,0.12623570555630512
30,80,0.5187674540261081,0.625818771603019,0.16094013764967438
30,80,0.33374515807375355,0.6819504073280489,0.1390493820043964
30,80,0.3916204670400461,0.6976817585496528,0.10746643604925965
30,80,0.3491573981712998,0.779613400277551,0.25024042000689856
30,80,0.19067391499085773,0.4789296624896352,0.1084358102968013
5,20,0.4417958816652828,0.4428551671898119,0.2795048586130162
5,20,0.3931565094227318,0.3964677717407819,0.2466053728032235
5,20,0.3746601554595348,0.40382948587700257,0.2472388097433825
5,20,0.35796685584191423,0.42037143201048627,0.23085757347314265
5,20,0.43959488221710663,0.4381857735056326,0.23452569206017848
5,20,0.37320777932584087,0.42157409942627294,0.2413477625597081
5,20,0.3726748552741235,0.43577528258094667,0.28281622170031784
5,20,0.36597708380586946,0.38357967800967774,0.251440868398748
5,20,0.3799740782881603,0.44378280355550004,0.2635159481845403
5,20,0.3637539631364277,0.4355981742224812,0.2564032897928397
5,40,0.6156309531524797,0.6300234831972585,0.3502670521174437
5,40,0.5833195163539225,0.6178908889944065,0.3244094455322049
5,40,0.6030510057507157,0.5636661783319504,0.36306423844312696
5,40,0.578747139086988,0.6124047276893251,0.33888948949245423
5,40,0.6524629042709248,0.6370072142857579,0.3708127625073017
5,40,0.6311196534749038,0.5534890576476352,0.31057975883072164
5,40,0.5928234178791085,0.6232198005209583,0.33575337574741826
5,40,0.6376121260597207,0.6355687950914521,0.37777403638761575
5,40,0.6052830586156763,0.606161531987274,0.30559892444363684
5,40,0.5796397509485303,0.6013720417980976,0.33463209680317085
5,60,0.7337438987436525,0.7787993510325358,0.4321240615680708
5,60,0.7804643508509884,0.7649283692059284,0.4239978099760219
5,60,0.7997711199084304,0.8006065767863305,0.4653386001405934
5,60,0.7507400443979979,0.7282200066051526,0.35562218248508914
5,60,0.7887246160825647,0.771312730645288,0.4277865407418858
5,60,0.7895110423674191,0.7685951033599929,0.37709063365716977
5,60,0.7873155688912412,0.7863520737230262,0.37754196708663346
5,60,0.7850486175340189,0.7598187696233024,0.3288726201680347
5,60,0.7538134141802731,0.7524123664579868,0.38193290233873645
5,60,0.7921287096179469,0.748870772553099,0.42003889587750654
5,80,0.8945759455355496,0.8858356478232782,0.4507905367692332
5,80,0.8879520706874086,0.8738905726895199,0.5678700168857876
5,80,0.909068647509431,0.9063821481809988,0.4457854251835572
5,80,0.898187897349698,0.8975130052507357,0.4243203673619244
5,80,0.9122010293839965,0.9064656022253809,0.43775905749770566
5,80,0.8550502632822458,0.815498303568966,0.32859913245533284
5,80,0.9094501717929976,0.9113174007635718,0.4754387066928428
5,80,0.8920317524224345,0.8923973880449384,0.48197411860610134
5,80,0.8936861941114554,0.8949372967887508,0.46598655378619896
5,80,0.8896499238209138,0.8653895383497757,0.583788137204868
