model,arm,rep,rmse,rmse_customer_total,bias_percent,mape_aggregate,spearman,pred_sd
ValendinLSTM,archive,15,0.37777189029849373,3.640190852320278,48.90388539321226,78.2590320630947,-0.02821929418644736,0.21197666775884527
ValendinLSTM,archive,16,0.3766296438940973,3.5387123077396643,13.64008157184534,57.68302651503115,0.03166636077836641,0.16958051087208703
ValendinLSTM,archive,17,0.3777367750424801,3.6347646073490836,48.31288331496151,71.36400815190888,0.005099400183128822,0.205137147524201
ValendinLSTM,archive,18,0.37721469598420615,3.5622931654105283,26.80947492629193,58.33162914976808,-0.022206324144175945,0.18930865508756575
ValendinLSTM,archive,19,0.37774464106740624,3.693933878213266,60.90899786937922,79.20279479461783,-0.007776184127370123,0.21121990215050232
ValendinLSTM,paper,0,0.3772277561679761,3.5903917519986295,38.20074967698429,77.07123375836123,0.0009682866389868831,0.19035487975169021
ValendinLSTM,paper,1,0.37722867473340566,3.5360020578898794,14.228357001694544,68.93660534476703,0.03396298378107758,0.17164939903285312
ValendinLSTM,paper,2,0.3775662132172304,3.5442525340114237,21.248466055332237,70.10736194418277,0.022604368312793742,0.1841517452660292
ValendinLSTM,paper,3,0.3770869159616688,3.569325457838921,30.643149115584396,63.502726588276246,0.002206318535764516,0.1862335259150795
ValendinLSTM,paper,4,0.3779632673333,3.670855724536026,55.105998547114034,76.81833671224337,-0.015315547325003892,0.21042750978080665
ValendinLSTM,paper,5,0.3774806717931447,3.5842055884353794,38.12235840262951,74.63565093789548,0.07944895071576882,0.19753728242015733
ValendinLSTM,paper,6,0.3768911394221567,3.5563436579349608,23.612133391396892,59.21131554583426,0.007994868318140924,0.18537374193638323
ValendinLSTM,paper,7,0.37714892464752864,3.5346596977431397,14.310838237795735,64.5930469869023,0.015376102556141115,0.17373836736865042
ValendinLSTM,paper,8,0.37713034964627606,3.548416502567337,17.359577152743306,65.98261758029943,-0.009868781966642138,0.17850394271674586
ValendinLSTM,paper,9,0.3776983292148945,3.5464453733768657,21.37900457413372,75.56237221861173,0.048044197347778546,0.18745560434174438
ValendinLSTM,paper,10,0.37806725165578603,3.5741600058440626,31.37730043870272,72.62201773386187,0.051922816227848057,0.19217074036018053
ValendinLSTM,paper,11,0.3772536745649751,3.576862003527453,33.003408137972876,67.22699384736403,0.0572845065818094,0.1932120755835807
ValendinLSTM,paper,12,0.3772973634127123,3.5635344070613604,24.10463512631979,71.03374232185698,-0.01868861207098851,0.19501720673533393
ValendinLSTM,paper,13,0.37729472576553863,3.57241858883666,35.570211160607926,68.76993863998914,0.028608753773547116,0.20239811313515355
ValendinLSTM,paper,14,0.37710231126281857,3.560636657630869,26.105657618190516,61.98568501926815,0.016567010069409232,0.1812982987889756
ValendinLSTM,paper,15,0.37672579824507585,3.5340703568651315,7.252556020197026,55.398432160940324,-0.01611451186143555,0.1696091739194292
ValendinLSTM,paper,16,0.3772267184412517,3.6080051932959085,39.94171769601352,63.08350371585385,0.012382866186577036,0.19489333602837788
ValendinLSTM,paper,17,0.37745961720999466,3.579069090807702,33.26618934771378,64.75221535924818,0.033784850690810636,0.18517401406925024
ValendinLSTM,paper,18,0.3775030064620918,3.595565678718491,37.618609240574315,73.17552823165771,0.006453438083649437,0.19767534581144955
ValendinLSTM,paper,19,0.37768286532972983,3.5770050353027805,30.475119125204504,74.9413769989926,-0.030460835268015324,0.18895458502305998
ValendinLSTM,paper90,0,0.37611335298773335,3.4722876191958654,-32.03612850127019,44.54124074431817,0.1418093419116571,0.34721657554374186
ValendinLSTM,paper90,1,0.3759537213277278,3.322515391578447,6.328902260134198,41.38207222400426,0.27786306302838754,0.9160999700426443
ValendinLSTM,paper90,2,0.37636159122630114,3.471704489337285,-26.252556572355427,41.716087356669426,0.19821564016119603,0.309789704299288
ValendinLSTM,paper90,3,0.37625106642313233,3.4155277920515528,-9.46353131095147,42.43558276344365,0.22574386383438935,0.39644891084045353
ValendinLSTM,paper90,4,0.37636775249687066,3.4791090125217785,-11.755283185786988,38.76755280558581,0.13344707814926443,0.2544601654419913
ValendinLSTM,paper90,5,0.37578669994236574,3.3038900328565717,8.810156536934045,39.50068158451171,0.2885391695263446,0.8503927559101069
ValendinLSTM,paper90,6,0.37694229686021125,3.5651235179184426,27.935582633563715,61.679959038352415,0.0076281579281787925,0.19109009595708937
ValendinLSTM,paper90,7,0.3756439052982023,3.3207119015927073,-16.420245683550906,39.45228361944278,0.2678268181977278,0.8310319893705166
ValendinLSTM,paper90,8,0.37597639890853507,3.4506639990953722,-35.458759711604735,46.059304832696114,0.23332120272396012,0.45319674671287735
ValendinLSTM,paper90,9,0.37666770765337554,3.41347159853775,33.35241971635224,55.50511238833689,0.2389218484829323,0.6354707414887579
ValendinLSTM,paper90,10,0.3762639812639165,3.4182390422856512,-22.711656786483786,38.64621684068199,0.17767415412397533,0.5686330500058547
ValendinLSTM,paper90,11,0.3772544362798702,3.5150006509066536,38.69359225667009,62.75835038564619,0.19715557574608122,0.49769168178569256
ValendinLSTM,paper90,12,0.3757877578457975,3.4189346293786786,-36.95364725371633,47.14860276940609,0.24710726661961036,0.5868111718814056
ValendinLSTM,paper90,13,0.37656399291365444,3.6284455961017072,-52.435583213564016,56.77505137250292,0.06481281061414629,0.12581819939298694
ValendinLSTM,paper90,14,0.3756513983173179,3.270830775787353,-20.700750166414576,40.80845270516643,0.26067221303958243,1.049426246021137
ValendinLSTM,paper90,15,0.3764392496315064,3.497787457270469,14.885139543481714,46.06782547201405,0.05536872746090429,0.2652385098374693
ValendinLSTM,paper90,16,0.3761179548421121,3.5212873801033577,-33.40797579200381,46.37457408390604,0.19517052616205582,0.21378331175764878
ValendinLSTM,paper90,17,0.3761056386556614,3.301255463390137,7.286979946680339,37.33878654574472,0.24088387960205523,0.8156925261476393
ValendinLSTM,paper90,18,0.37686613093136906,3.522131997239088,21.729379463128115,54.158827527308695,0.057769819563544565,0.2466309564040702
ValendinLSTM,paper90,19,0.37697133327877,3.5403559425039033,24.490797313929324,54.601908591020376,0.03886251348844253,0.22386621285343472
ValendinLSTM,floor50,0,0.3765724902226793,3.490316826607429,30.061008681967746,51.228697995078115,0.19230524207380773,0.3416719905782135
ValendinLSTM,floor50,1,0.3761027844724803,3.4726592554754254,-18.28220890734637,37.725971420641535,0.20223914549669908,0.2897341012325205
ValendinLSTM,floor50,2,0.37640732492030626,3.4670182519543946,2.8582137772569376,43.39127462819448,0.2022821970554608,0.22923556049764907
ValendinLSTM,floor50,3,0.3767819782225474,3.3818289115631486,43.55453288959658,57.079413653133535,0.22009647022771567,0.9916754694689647
ValendinLSTM,floor50,4,0.3768844365924407,3.5568595101725093,23.837763985622605,52.379004699422396,-0.007202268455926638,0.1925797559353169
ValendinLSTM,floor50,5,0.3765347972378358,3.512356445442766,-2.9758012638985627,49.36025903681476,0.10613673634295472,0.15968935962809652
ValendinLSTM,floor50,6,0.37614880017088687,3.4846595841508194,-4.2044992922427795,41.33128828883942,0.1283700271759648,0.27738991566944043
ValendinLSTM,floor50,7,0.37624978402010684,3.48619558470424,-21.366735157920754,43.3074301275683,0.18531117186011245,0.24082937638788915
ValendinLSTM,floor50,8,0.37600617235843997,3.3906696559466414,-27.48125459498601,41.78868449460045,0.17363177772585653,0.5352741432405683
ValendinLSTM,floor50,9,0.3763702109582341,3.3796837708856566,12.784934983840635,43.57975456437019,0.2638199690019457,0.6100991721205806
