panel,model,training,cluster,rep,rmse,rmse_customer_total,bias_percent,mape_aggregate,spearman
cdnow,ValendinLSTM,floored,kmeans_8,6,0.15583194545167636,2.4073877120085343,44.75540894680802,53.43192609051598,0.4118473960625093
cdnow,ValendinLSTM,floored,kmeans_8,7,0.15368858185307507,2.206895618982026,37.48944584732394,49.818205744480224,0.40783388133205245
cdnow,ValendinLSTM,floored,kmeans_8,8,0.15205573605428313,2.1141599876450075,28.69182040978776,40.61002632185302,0.395911240923717
cdnow,ValendinLSTM,floored,kmeans_8,9,0.15236120991684343,2.2170228890605888,29.802638467814,42.74775717500839,0.3815537885727002
cdnow,ValendinLSTM,floored,kmeans_8,10,0.15006337568964187,1.9129615794099777,0.09208433330054253,37.535356184207195,0.4328382695199093
cdnow,ValendinLSTM,floored,kmeans_8,11,0.15729694842322253,1.9415073089047508,65.08390479094504,88.59525045306273,0.35063617736128355
cdnow,ValendinLSTM,floored,kmeans_8,12,0.15564806844773257,2.2030583045999417,65.79709739244895,71.60659611937743,0.36856180132794136
cdnow,ValendinLSTM,floored,kmeans_8,13,0.14806892414117323,1.8098003006441123,-8.265435419790004,33.01424810643209,0.40010629339096604
cdnow,ValendinLSTM,floored,kmeans_8,14,0.150230372022638,1.9215520250317906,-4.7000000685316285,31.316358836854285,0.43240259480482357
cdnow,ValendinLSTM,floored,kmeans_8,15,0.15343961653122437,2.2995167049327128,42.65857508293002,46.61530333087041,0.4447594228931733
cdnow,ValendinLSTM,floored,kmeans_8,16,0.15361301569455865,2.257596196128171,40.170184667701335,44.985488114981706,0.4084982592931635
cdnow,ValendinLSTM,floored,kmeans_8,17,0.1535097299594592,2.2593957900354575,27.78839039569593,42.69973608107356,0.39924376939311684
cdnow,ValendinLSTM,floored,kmeans_8,18,0.15293834503559195,2.2064504765725217,14.824802002827724,33.9350922847545,0.4286019999191824
cdnow,ValendinLSTM,floored,kmeans_8,19,0.15514619648422565,2.09749747315524,60.111081547209416,72.49683357578623,0.3781375845422859
cdnow,LSTM,archive,no_cluster,0,0.1470652471075107,1.8130820665282328,-33.55171581066802,34.18179493318868,0.3701099194654141
cdnow,LSTM,archive,no_cluster,1,0.14774955786563695,1.874264441341339,-33.59973701066061,34.734829271256714,0.3712814309127549
cdnow,LSTM,archive,no_cluster,2,0.14907393569109836,1.8637536756478492,23.597360925114668,41.1203166199135,0.4137609470084104
cdnow,LSTM,archive,no_cluster,3,0.14809937721322136,1.9382996273827693,-57.978628624604426,57.97862862460443,0.3206161086564707
cdnow,LSTM,archive,no_cluster,4,0.14660390803661477,1.674613063732404,22.279682665827117,32.42321871987736,0.4453741605837939
cdnow,LSTM,archive,no_cluster,5,0.14736377417400776,1.8549341896120275,-43.27862872179421,43.2786287217942,0.37230690312627107
cdnow,LSTM,archive,no_cluster,6,0.15287344822119414,1.9910007666645038,71.82875936860708,114.26411648789583,0.3645116826368021
cdnow,LSTM,archive,no_cluster,7,0.14702691181665528,1.7941907955364533,-31.808180158569893,32.92533048426163,0.3968170778834772
