suite,model,study,best_epoch,val_loss,spearman,pred_sd,arm
ar_encoding__electronics__ar_bounded_32__c,LSTM,5,19.0,0.0889417832860579,0.23167704923986512,0.3374575350068324,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__c,LSTM,14,34.0,0.0863398183137178,0.17957915770075156,0.2776263377397249,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__c,LSTM,10,17.0,0.0877073667943477,0.1964323948924726,0.30483886027038654,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__c,LSTM,12,42.0,0.0869706954274858,0.30354478033112686,0.9259932976750076,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__c,LSTM,16,32.0,0.0857550408691167,0.1855896128779653,0.38043615112084006,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__c,LSTM,15,32.0,0.0858087167143821,0.24664164170290487,0.43151337249076044,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__c,LSTM,20,15.0,0.0887704480152863,0.25062904224420696,0.38926345615307106,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__c,LSTM,8,29.0,0.0868700753365244,0.33068752975307897,0.9908525229600642,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__c,LSTM,6,23.0,0.0878990058388028,0.22685704016031258,0.4653911888183917,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__c,LSTM,9,25.0,0.0857563875615596,0.307035590785276,0.6007802169723262,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__c,LSTM,13,21.0,0.0870602939810071,0.31068316657802064,0.8588586447783351,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__d,LSTM,19,33.0,0.0875525538410459,0.25972951597055804,0.39054713296590926,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__d,LSTM,7,31.0,0.0856297183781862,0.31170533807663786,0.5215838514250839,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__d,LSTM,4,26.0,0.0882534356071398,0.2871923594760993,0.8873273614645045,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__d,LSTM,17,32.0,0.0850588958710432,0.29117408798005234,0.9889619805799678,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__d,LSTM,18,21.0,0.0884118825197219,0.2291339751083436,0.2906386828720814,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__d,LSTM,11,17.0,0.0890073266166907,0.22591866766758217,0.4160033574088379,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__d,LSTM,2,21.0,0.0873742337737764,0.3126343754878106,0.8660135219740034,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__d,LSTM,1,11.0,0.0882994894470487,0.20821082186401835,0.3261645247696955,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__d,LSTM,3,34.0,0.0856083892285823,0.2664963667505962,0.6116526741851891,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__d,LSTM,5,16.0,0.0868371458990233,0.3034853854505644,1.3608163364271157,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__d,LSTM,14,43.0,0.0855226796120405,0.24581006756401913,0.26094017544863496,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__d,LSTM,10,16.0,0.0875250697135925,0.2562077193480637,0.8389733180903465,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__d,LSTM,12,38.0,0.0876404494047164,0.24015562134787374,0.38405432691336283,ar_encoding__electronics__ar_bounded_32
