suite,model,study,spearman,pred_sd,val_loss,best_epoch,epochs_run,lr,batch_size,weight_decay,updates,hidden,dense,dropout,embedder,d_model,arm
ar_encoding__electronics__ar_bounded_32__e,LSTM,1,0.2555920729611995,0.6189221611423802,0.0874420553445816,15.0,23.0,0.0092738863594116,128.0,1.071934519220613e-05,112.0,128.0,32.0,0.2,valendin,,e
ar_encoding__electronics__ar_bounded_32__e,LSTM,2,0.1997485486127806,0.4676369893623474,0.0875931893076215,17.0,25.0,0.009337535035989,128.0,9.952177939109044e-05,126.0,128.0,32.0,0.0,valendin,,e
ar_encoding__electronics__ar_bounded_32__e,LSTM,3,0.1827617077824359,0.245218660925216,0.0878869316407612,26.0,34.0,0.0061949449981166,128.0,1.6157632907425424e-05,189.0,32.0,128.0,0.2,valendin,,e
ar_encoding__electronics__ar_bounded_32__e,LSTM,4,0.3113152643802533,0.7608969813455194,0.0852379128336906,26.0,34.0,0.0089401508658021,256.0,2.6120831803058567e-06,108.0,128.0,32.0,0.0,valendin,,e
ar_encoding__electronics__ar_bounded_32__e,LSTM,5,0.2595584030271184,0.3747383104105763,0.0888109086797787,33.0,41.0,0.0030463420625718,64.0,4.644230279328169e-05,442.0,32.0,128.0,0.2,valendin,,e
ar_encoding__electronics__ar_bounded_32__e,LSTM,6,0.2861822987740671,0.5554547049964513,0.0872500389814376,28.0,36.0,0.0097258648506208,128.0,0.0001977026413994,203.0,128.0,32.0,0.0,valendin,,e
ar_encoding__electronics__ar_bounded_32__e,LSTM,7,0.2888349204474245,1.0907723370037756,0.0880908536223264,20.0,28.0,0.0092378173762308,64.0,0.0014606281077896,273.0,128.0,32.0,0.0,valendin,,e
ar_encoding__electronics__ar_bounded_32__e,LSTM,8,0.270824192474016,0.8443892812429794,0.0852242372930049,39.0,47.0,0.0036418780864064,256.0,0.0001376809909535,160.0,128.0,64.0,0.0,valendin,,e
ar_encoding__electronics__ar_bounded_32__e,LSTM,9,0.2861983959528904,0.4626495319724842,0.0874887140733855,28.0,36.0,0.0089033988354942,128.0,0.0006650749324136,203.0,128.0,32.0,0.0,valendin,,e
ar_encoding__electronics__ar_bounded_32__e,LSTM,10,0.2422299120868905,0.3502286214244957,0.0866096280515194,47.0,55.0,0.0093322141004048,256.0,0.0010231733524582,192.0,32.0,128.0,0.2,valendin,,e
ar_encoding__electronics__ar_bounded_32__e,LSTM,11,0.3034263821740809,0.8992866711747715,0.088222236587451,25.0,33.0,0.0047819217595592,64.0,8.192421087714015e-06,338.0,128.0,32.0,0.2,valendin,,e
ar_encoding__electronics__ar_bounded_32__e,LSTM,12,0.2770789155103619,0.4871201136239445,0.08715227432549,24.0,32.0,0.004718110048347,256.0,0.0007280884999892,100.0,32.0,64.0,0.0,valendin,,e
ar_encoding__electronics__ar_bounded_32__e,LSTM,13,0.3021320941480597,0.7654707686324251,0.0871353670954704,22.0,30.0,0.0063974008126586,128.0,0.0003744285802935,161.0,128.0,32.0,0.2,valendin,,e
ar_encoding__electronics__ar_bounded_32__e,LSTM,14,0.2541152616291232,0.6528178983693539,0.0873106845787593,34.0,42.0,0.0053188874557062,128.0,0.0001291058382994,245.0,128.0,64.0,0.0,valendin,,e
ar_encoding__electronics__ar_bounded_32__e,LSTM,15,0.2734628827995422,0.8442732707150842,0.0872042125889233,31.0,39.0,0.0094731241286743,128.0,7.360423797444161e-06,224.0,128.0,32.0,0.0,valendin,,e
ar_encoding__electronics__ar_bounded_32__e,LSTM,16,0.2892640831254034,1.17780400540049,0.0881256249088507,21.0,29.0,0.0054325728587871,64.0,3.105650434385057e-06,286.0,128.0,32.0,0.0,valendin,,e
ar_encoding__electronics__ar_bounded_32__e,LSTM,17,0.1524367732604476,0.4571115440813686,0.0854841694235801,36.0,44.0,0.0072507967807935,256.0,5.792029965141345e-06,148.0,128.0,128.0,0.2,valendin,,e
ar_encoding__electronics__ar_bounded_32__e,LSTM,18,0.2569519440502979,1.1311252757919017,0.0850531067699194,22.0,30.0,0.0093135949049456,256.0,4.854241644962198e-06,92.0,128.0,32.0,0.0,valendin,,e
ar_encoding__electronics__ar_bounded_32__e,LSTM,19,0.3009067516129279,1.2022274942869702,0.0881803703422729,20.0,28.0,0.0083245897039322,64.0,3.17359914763022e-05,273.0,128.0,32.0,0.2,valendin,,e
ar_encoding__electronics__ar_bounded_32__e,LSTM,20,0.3062951293070297,0.4408176498564034,0.085591547191143,30.0,38.0,0.0092298715632045,256.0,0.0012916491332673,124.0,128.0,32.0,0.0,valendin,,e
ar_encoding__electronics__ar_bounded_52__a,LSTM,1,0.265820079206937,0.6088375178656859,0.08861065443073,24.0,32.0,0.004720207728784,128.0,1.6944873988989703e-05,175.0,128.0,32.0,0.2,valendin,,a
ar_encoding__electronics__ar_bounded_52__a,LSTM,2,0.3040554688330907,0.6559958128933744,0.0862186569720506,56.0,64.0,0.0020327123169534,256.0,0.0004483198948174,228.0,64.0,32.0,0.2,valendin,,a
ar_encoding__electronics__ar_bounded_52__a,LSTM,3,0.2591025532873722,0.5372198274915568,0.0897945669981149,23.0,31.0,0.0021653505842702,64.0,6.569336836120548e-06,312.0,128.0,32.0,0.2,valendin,,a
ar_encoding__electronics__ar_bounded_52__a,LSTM,4,0.260377990723211,0.2961950733615895,0.088786238006183,34.0,42.0,0.002862817644937,128.0,2.165088553677221e-05,245.0,64.0,64.0,0.0,valendin,,a
ar_encoding__electronics__ar_bounded_52__a,LSTM,5,0.2529663421079787,0.603728729038649,0.0900447930280978,19.0,27.0,0.0026699164451279,64.0,0.0008640472840089,260.0,128.0,64.0,0.0,valendin,,a
ar_encoding__electronics__ar_bounded_52__a,LSTM,6,0.2470127543134895,0.4956665182199508,0.0884616960372243,17.0,25.0,0.0052315840394429,128.0,0.0001685300612934,126.0,128.0,128.0,0.2,valendin,,a
ar_encoding__electronics__ar_bounded_52__a,LSTM,7,0.2166343414556418,0.5136250996296685,0.0878545138984918,29.0,37.0,0.0046936226634291,256.0,1.848620390607201e-05,120.0,64.0,32.0,0.0,valendin,,a
ar_encoding__electronics__ar_bounded_52__a,LSTM,8,0.2527170435931097,0.4425146541983094,0.0894811399854146,14.0,22.0,0.0059597728207528,64.0,0.0007814273698723,195.0,32.0,64.0,0.0,valendin,,a
