model,arm,rmse,rmse_customer_total,bias_percent,mape_aggregate,spearman
ValendinLSTM,floor50,0.1466436836884192,1.7188197289613312,-17.350396546818086,29.216359140484236,0.40828644862100777
ValendinLSTM,floor50,0.14826578463697435,1.942559926259758,-36.78971064962616,40.28258628568246,0.27226989825169656
ValendinLSTM,floor50,0.1462206435297535,1.658695929884018,-20.379947843497273,32.58786302762692,0.40526285705261167
ValendinLSTM,floor50,0.1474441359851506,1.8502352111866982,-53.77599006474517,54.22770500694251,0.3372394773082196
ValendinLSTM,floor50,0.14623185130257582,1.6854145892033134,-19.334565423144262,26.23007948670088,0.43216808842830745
ValendinLSTM,floor50,0.14803595620828042,1.7992734307772742,-13.637467830252978,24.739314126819053,0.3797730806952299
ValendinLSTM,floor50,0.14691766232092432,1.6759952515532104,29.891555948983736,40.274142005080115,0.37280183793711724
ValendinLSTM,floor50,0.15912124109449902,1.9880023060579282,48.88891761326318,91.71108194476976,-0.1499395887490823
ValendinLSTM,floor50,0.14644579778886294,1.7248251191817667,-31.732718346979865,35.58021153945074,0.39827967014747534
ValendinLSTM,floor50,0.1466190505418926,1.7383474593215387,-28.179420272237614,34.72506641796108,0.413419955899887
ValendinLSTM,floor50,0.14933046745084103,1.9627200343919056,-10.321108887911052,27.340633422971898,0.43496817317885206
ValendinLSTM,floor50,0.14729266376504094,1.8005326287586032,-36.46728309903491,41.22506657231986,0.39550181260599726
ValendinLSTM,floor50,0.14658697545124158,1.7361172055271088,-38.85910361381106,40.824275020274314,0.32087944905136306
ValendinLSTM,floor50,0.1470199823934485,1.703847629102115,-5.669393916086331,27.940633408823615,0.4213890954206488
ValendinLSTM,floor50,0.15485865493028364,2.031671065759412,45.38601508826027,76.96649078097893,-0.14724238046945237
LSTM,archive,0.14606801149105406,1.670502614819455,1.367017702349127,19.09155658306181,0.4183400093930619
LSTM,archive,0.14633048587663958,1.6906458054976121,15.528231425048363,26.80474900397261,0.42802359574596255
LSTM,archive,0.14612597828982987,1.6691985286944153,-3.855145817185428,18.852506578558344,0.43771708775609414
LSTM,archive,0.1464923603527629,1.714648250555331,-0.18575281047322992,18.788390389660776,0.4129266200029077
LSTM,archive,0.14593993072766206,1.6601779281099918,-26.353562695950085,27.713984698598,0.4019786951237741
LSTM,archive,0.1463782082599698,1.7059138186565996,-12.15725666831098,20.080739058514972,0.4172625199983439
LSTM,archive,0.14578907460076485,1.6349350955763746,15.731397684378198,25.75408932765181,0.4394523981373512
LSTM,archive,0.1469453492405207,1.7789655601228225,2.155408231064507,18.950659494679915,0.4278625039268098
LSTM,archive,0.14588792556374933,1.6538076010267175,-2.234565366285903,19.00976242443499,0.4311132090021817
LSTM,archive,0.14616765162079795,1.672863670172942,-1.487863497577888,18.449340310920807,0.45112314256174324
LSTM,archive,0.14683215222382273,1.7713471739756905,-17.849605012990068,22.53350963594904,0.44899712672777947
LSTM,archive,0.14645175809798686,1.7308071853054512,-31.120845048460122,31.754618100232484,0.41592612545081376
LSTM,archive,0.1459383187613401,1.6695106988927386,-20.271240757940756,23.237995150103604,0.44147231008054777
LSTM,archive,0.146463062382537,1.7249915573361367,-12.929552219670803,20.503166497618775,0.40990429128527106
LSTM,archive,0.14652798366179626,1.7311801199268626,-6.352243510156304,18.527440727838304,0.4279561851476888
LSTM,archive,0.14614959288461857,1.6870846987375567,-0.9612145730466721,18.69366742970325,0.4256723706595534
LSTM,archive,0.14637788219683853,1.7124572252609922,-13.355937492210817,20.27203195514587,0.42492425915765447
LSTM,archive,0.14617222780129965,1.6774849970427745,8.318205081899228,21.7329812143734,0.4399699424003237
LSTM,archive,0.14649895642252023,1.6937974512556773,11.712927997141474,23.83166189691271,0.40954511495843127
LSTM,archive,0.14614230179394466,1.6773343232851445,2.9168857711224363,19.844063129275973,0.43021173216011044
LSTM,paper,0.14644049563226635,1.7161186883050585,-11.09208529721731,19.75752006901689,0.3818972937037205
LSTM,paper,0.14618215185036434,1.6775262477127733,11.508178612693738,23.633772715641,0.38946652355170686
LSTM,paper,0.1467971029451755,1.7189169633306682,37.981265769155506,41.287862175883674,0.4293271291044376
LSTM,paper,0.14625045868379974,1.6775284132236141,13.062004422950503,23.653033908338482,0.3969280113633459
LSTM,paper,0.14635523726175373,1.6877069277281174,23.074669372683257,29.527440112241244,0.4122868632912733
LSTM,paper,0.14634828812231637,1.7004099737886595,-3.9857527539432023,18.71029025189442,0.4168784391299617
LSTM,paper,0.14873147562044772,1.9913601711831128,18.920315801114107,28.259630204917915,0.39661847718407955
LSTM,paper,0.1460673886864826,1.6686063830660616,-1.660686814248638,18.876517023596293,0.35344490828710035
LSTM,paper,0.14602790026801735,1.6440180210009652,28.697360711353777,33.264115529532745,0.4300567094522509
LSTM,paper,0.1465561097570681,1.7061957041486309,31.191819832023526,35.7997356387625,0.4282735339113328
LSTM,paper,0.14655535633991962,1.7441877933642387,-25.530607605200956,27.205541430134804,0.39159603359078493
LSTM,paper,0.14617012438557767,1.695127650954244,-11.092612922123125,19.76226940136758,0.42094837117006123
